ds,yhat,yhat_lower,yhat_upper
2012-01-22,244916.39824257858,212055.0819201829,282234.1306466591
2012-01-23,319115.3689265826,285912.825257171,350906.6083748548
2012-01-24,231822.20257073824,198838.52377584626,267527.36042502447
2012-01-25,224721.02137560057,189011.3339191954,259679.60011591576
2012-01-26,217497.2851172148,183916.5461771765,249626.15652498876
2012-01-27,210336.8421260428,174669.82338725356,243829.9656756481
2012-01-28,203420.0594396461,169911.5132681767,236070.0538170339
2012-01-29,196917.28436297676,161940.98342692002,231320.16655735695
2012-01-30,271485.1307650575,238378.20394693947,308420.3039691879
2012-01-31,185758.6032637141,153175.82185730158,222214.20177408293
2012-02-01,181355.73468734018,148739.8476264609,217102.4898254601
2012-02-02,177866.84467459438,142438.21485031856,213388.84084239142
2012-02-03,175356.58782269506,139916.9401136497,208336.47918719365
2012-02-04,173861.75938717707,138666.4910851321,209100.77752463514
2012-02-05,173391.00295712065,137945.8404448012,207295.34963085342
2012-02-06,254425.79063715832,220177.75638027865,290361.1064236971
2012-02-07,175417.55460808155,141608.60336362463,210485.81399635779
2012-02-08,177797.50351693088,144947.63006683078,210531.53832465026
2012-02-09,180971.0859982859,147036.8214853114,213519.61587896754
2012-02-10,184825.12462970146,151631.16260383933,219614.57560794303
2012-02-11,189230.44775239483,155228.48274557857,224296.82164407056
2012-02-12,194046.03144698942,160787.83084708624,228910.01474725624
2012-02-13,279623.90214353404,242731.96156609213,312203.1081778487
2012-02-14,204309.57406655338,170202.3264036891,238075.19665851176
2012-02-15,209454.46850577916,175490.5060168016,246967.56901337544
2012-02-16,214412.2112623139,181017.87635300242,248683.98007924526
2012-02-17,219046.78785214652,185956.40122774625,254030.83005019242
2012-02-18,223235.36346518213,190271.49024848876,259760.6606621975
2012-02-19,226871.78324674818,193915.88056473786,259395.4158609812
2012-02-20,310370.03007911163,276271.6224523091,344741.34099829296
2012-02-21,232162.4632802741,197591.44505222028,266535.19982197636
2012-02-22,233709.35535924745,197181.4843690892,268341.77802230447
2012-02-23,234491.71213131212,199213.1918543652,269146.4038783673
2012-02-24,234515.46086089572,203381.95811642712,267525.8379876718
2012-02-25,233809.93154649,200158.5088216261,270126.2431134788
2012-02-26,232426.77459513897,199754.39582630864,265173.30957778246
2012-02-27,310938.7256362207,276463.97130283515,343106.29251701385
2012-02-28,227933.17645937108,196140.79695958545,260407.6655517931
2012-02-29,225017.20294787505,191199.20414733564,257650.34744537438
2012-03-01,221806.1633787561,187888.09670519436,255169.35939456805
2012-03-02,218424.07055732608,186848.32012072892,252649.48617423553
2012-03-03,214998.76910614202,181374.81719228812,251225.5531958145
2012-03-04,211658.15183291642,180193.63094038866,245073.9847388234
